Sparse matrix update
Dimension	CoeffRef	Triplets	Transform	Pointers	Indices	
336	27.417247	14.570982	10.385569	8.324886	0.347084	
340	28.448808	14.975099	10.598947	8.705697	0.351525	
344	31.283256	15.635398	10.889304	8.966095	0.355789	
348	32.350985	16.036192	11.520878	9.778316	0.357012	
352	33.552703	16.932327	11.973578	9.694678	0.361426	
356	34.588651	17.126957	12.396540	9.747241	0.366755	
360	35.712176	17.836521	12.581917	10.164986	0.370304	
364	36.949089	18.250036	12.929386	11.155638	0.376206	
368	38.093358	18.998255	13.244544	10.743691	0.395349	
372	39.386039	19.449519	13.878825	11.187337	0.380914	
376	40.617102	20.255815	14.553546	11.523423	0.388813	
380	42.008510	20.737089	14.957785	12.492132	0.391620	
384	43.524908	21.716297	15.396998	12.291129	0.396581	
388	44.705387	22.102270	15.556337	12.473791	0.429318	
392	46.009386	22.871077	15.967449	13.013380	0.421629	
396	47.492302	23.334031	16.615770	13.860398	0.426288	
400	48.779269	24.195007	16.987493	13.595467	0.411693	
404	50.411530	24.824718	17.827464	14.099128	0.426251	

Solving a linear system
Dimension	Dense: PartialPivLU	Dense: FullPivLU	Dense: HouseholderQR	Dense: CompleteOrthogonalDecomposition	Dense: LLT	Dense: LDLT	Sparse: SimplicialLLT	Sparse: SimplicialLDLT	Sparse: SparseLU	Sparse: ConjugateGradient	Sparse: LeastSquaresConjugateGradient	Sparse: BiCGSTAB	
8	0.038173	0.002857	0.005779	0.007590	0.001739	0.002218	0.008340	0.007509	0.098090	0.003621	0.006604	0.005013	
12	0.004098	0.006492	0.011317	0.015443	0.010977	0.004013	0.017353	0.012214	0.025712	0.009320	0.012767	0.006876	
16	0.009671	0.011184	0.016032	0.021308	0.004841	0.018760	0.017786	0.017717	0.037389	0.010476	0.020634	0.008911	
20	0.012575	0.021640	0.023793	0.032247	0.007102	0.009125	0.022481	0.021769	0.045827	0.012672	0.022184	0.011870	
24	0.035967	0.028376	0.032125	0.043610	0.009324	0.012590	0.026746	0.026155	0.058538	0.015298	0.027605	0.014363	
28	0.042611	0.041463	0.042389	0.058922	0.012595	0.016585	0.033383	0.031403	0.067584	0.017608	0.032347	0.017000	
32	0.030644	0.056479	0.054600	0.077571	0.019393	0.021621	0.035786	0.035443	0.075500	0.019926	0.038620	0.018699	
36	0.040281	0.076343	0.071356	0.098322	0.024662	0.027585	0.040645	0.039153	0.086270	0.022240	0.042477	0.020220	
40	0.048810	0.099678	0.089243	0.121336	0.030479	0.032960	0.044171	0.043115	0.092927	0.025047	0.046913	0.022154	
44	0.060851	0.125865	0.109018	0.149796	0.036674	0.041203	0.049461	0.047320	0.103069	0.027827	0.051438	0.024021	
48	0.073768	0.155685	0.132635	0.180873	0.043565	0.048041	0.052798	0.050526	0.111170	0.029943	0.058892	0.026313	
52	0.088839	0.191829	0.281139	0.214772	0.052265	0.056905	0.057085	0.054787	0.120558	0.032838	0.056683	0.028693	
56	0.104537	0.233842	0.318663	0.255415	0.062211	0.066789	0.061375	0.059276	0.128403	0.034903	0.063987	0.029865	
60	0.123233	0.280029	0.355940	0.304571	0.071286	0.076208	0.064735	0.063261	0.137875	0.037291	0.065017	0.032156	
64	0.147536	0.340796	0.403064	0.356359	0.083167	0.092941	0.069023	0.066297	0.145933	0.040010	0.070456	0.034520	
68	0.165303	0.407013	0.455626	0.418735	0.095234	0.100029	0.073403	0.071362	0.154935	0.043209	0.073393	0.036611	
72	0.190369	0.473296	0.505542	0.487198	0.110006	0.117299	0.078563	0.075499	0.162085	0.044483	0.077213	0.038228	
76	0.218202	0.564431	0.566840	0.572022	0.124655	0.127347	0.081818	0.079311	0.172296	0.046980	0.081095	0.040119	
80	0.246402	0.645329	0.614280	0.660346	0.141026	0.142121	0.085989	0.082880	0.180503	0.049430	0.085379	0.042801	
84	0.277291	0.747074	0.686233	0.742637	0.158792	0.162366	0.089461	0.086788	0.189617	0.051904	0.095660	0.044876	
88	0.311307	0.849816	0.761967	0.841953	0.177495	0.181249	0.093936	0.091515	0.196475	0.054108	0.094564	0.046083	
92	0.347614	0.972468	0.825481	0.938796	0.198009	0.213431	0.098561	0.096572	0.207603	0.057629	0.106985	0.048945	
96	0.394813	1.106377	0.903414	1.114148	0.218980	0.231483	0.103088	0.099302	0.214164	0.059335	0.110315	0.051196	
100	0.429178	1.234397	1.109892	1.171169	0.242177	0.252447	0.107406	0.102948	0.224544	0.063089	0.112597	0.053777	
104	0.475447	1.374187	1.215336	1.293416	0.266704	0.289839	0.109552	0.107311	0.229789	0.063994	0.117728	0.054812	
108	0.521071	1.533465	1.303593	1.424083	0.292220	0.317126	0.115510	0.110848	0.240031	0.066212	0.117067	0.058093	
112	0.570489	1.694229	1.418689	1.559222	0.319836	0.351193	0.118830	0.113739	0.248573	0.069461	0.132104	0.061562	
116	0.626282	1.883238	1.531935	1.696754	0.349045	0.406088	0.124049	0.119488	0.256704	0.072363	0.132217	0.062349	
120	0.650040	2.055576	1.662003	1.849615	0.379763	0.435673	0.125816	0.123001	0.264605	0.075525	0.131601	0.064832	
124	0.713536	2.268728	1.788085	2.025674	0.411636	0.495996	0.129593	0.125534	0.275045	0.078609	0.134903	0.067546	
128	0.792279	2.593466	1.992727	2.296994	0.469094	0.842230	0.135148	0.130023	0.283078	0.079946	0.142003	0.070126	
132	0.708139	2.707648	2.049387	2.383702	0.432680	0.604022	0.138798	0.133207	0.291038	0.084479	0.152272	0.072645	
136	0.754126	2.935051	2.193794	2.589627	0.466024	0.657083	0.145761	0.140530	0.297362	0.085653	0.155034	0.074662	
140	0.825202	3.203227	2.354840	2.799120	0.500464	0.715886	0.150572	0.145147	0.308823	0.102603	0.169726	0.077242	
144	0.839152	3.461251	2.510617	3.024262	0.538620	0.802513	0.154276	0.149551	0.315145	0.092205	0.166136	0.080084	
148	0.915001	3.747603	2.795347	3.220431	0.577482	0.856791	0.158973	0.152677	0.324775	0.095067	0.178573	0.082255	
152	0.971796	4.027373	2.968347	3.457843	0.620766	0.913850	0.162849	0.157398	0.332299	0.096992	0.192169	0.084645	
156	1.045770	4.358184	3.167770	3.716320	0.662565	0.999916	0.167027	0.161488	0.341342	0.100254	0.189029	0.086951	
160	1.202682	4.790447	3.438650	4.191832	0.794859	1.263185	0.170773	0.165152	0.349040	0.102829	0.193854	0.091884	
164	1.161321	5.023506	3.564508	4.240117	0.756717	1.155241	0.174963	0.169529	0.358102	0.104436	0.186763	0.092999	
168	1.220425	5.360254	3.801114	4.500070	0.809546	1.222679	0.179376	0.173706	0.365363	0.107498	0.196570	0.094942	
172	1.339897	5.748542	4.022256	4.860644	0.866435	1.445131	0.183498	0.176177	0.377051	0.111794	0.199578	0.095714	
176	1.352654	6.119456	4.217189	5.170486	0.914655	1.451133	0.188238	0.182164	0.383120	0.112570	0.202301	0.099606	
180	1.447011	6.542776	4.470707	5.417538	0.969461	1.510526	0.192189	0.186364	0.391629	0.115070	0.219002	0.101140	
184	1.512973	6.931881	4.693810	5.765179	1.028511	1.595971	0.196482	0.188542	0.399359	0.117869	0.211770	0.103448	
188	1.625005	7.383499	4.962865	6.094699	1.090270	1.701778	0.200486	0.193576	0.408296	0.119416	0.228732	0.105103	
192	1.970818	8.032919	5.330916	6.568675	1.299813	2.296803	0.205155	0.198143	0.416211	0.124064	0.221513	0.107772	
196	1.777185	8.323902	5.621473	6.799474	1.214790	1.914939	0.208956	0.202644	0.426402	0.125428	0.238643	0.109575	
200	1.850603	8.799812	5.880190	7.190921	1.286134	2.007298	0.213220	0.206829	0.436145	0.128643	0.241527	0.112136	
204	1.971857	9.310473	6.208432	7.648053	1.355514	2.135360	0.216575	0.210563	0.447661	0.130493	0.248150	0.114175	
208	2.024537	9.847347	6.477007	8.115534	1.429675	2.326972	0.220072	0.213047	0.450707	0.132823	0.254806	0.116794	
212	2.151759	10.427706	6.814275	8.418146	1.502663	2.365114	0.224880	0.218222	0.463076	0.136111	0.258305	0.118741	
216	2.229415	10.950664	7.137583	8.870551	1.590183	2.474646	0.229602	0.221199	0.466913	0.138311	0.265190	0.120335	
220	2.398335	11.601074	7.497777	9.354857	1.661465	2.709966	0.234077	0.224696	0.476571	0.140886	0.267258	0.122816	
224	2.773896	12.393590	7.982404	10.333938	1.936684	3.131282	0.238459	0.230136	0.483939	0.143062	0.282954	0.124836	
228	2.595401	12.849367	8.206185	10.194617	1.830944	2.963412	0.240784	0.233880	0.493940	0.155870	0.278677	0.127522	
232	2.667769	13.426560	8.568976	10.960941	1.931533	3.017340	0.245907	0.236824	0.502014	0.148087	0.273158	0.130246	
236	2.827608	14.116762	8.961119	11.321721	2.014683	3.178193	0.250975	0.241211	0.511803	0.150793	0.288477	0.132558	
240	2.896475	14.799437	9.342179	11.948795	2.116294	3.395664	0.255269	0.247109	0.518632	0.165356	0.292945	0.136385	
244	3.055535	15.579736	9.893763	12.329155	2.206854	3.490264	0.258946	0.249777	0.525673	0.156201	0.297436	0.136887	
248	3.162395	16.241355	10.316539	12.881259	2.316463	3.623231	0.263944	0.253745	0.534430	0.159787	0.300486	0.138050	
252	3.347553	17.079045	10.774344	13.493685	2.423562	3.820140	0.267402	0.257248	0.549681	0.160846	0.291566	0.141275	
256	4.168023	17.980403	11.578534	14.470757	2.749380	5.156214	0.271362	0.262604	0.557531	0.175057	0.311715	0.144593	
260	3.762091	18.827496	11.896151	14.813475	2.521884	4.279892	0.279368	0.268187	0.567428	0.165666	0.316516	0.145152	
264	3.831586	19.460795	12.195192	15.477210	2.622543	4.412761	0.284333	0.272612	0.572199	0.194599	0.322429	0.153607	
268	4.015672	20.343143	12.624699	15.968107	2.726097	4.545512	0.287138	0.276455	0.581817	0.171070	0.323626	0.149006	
272	4.165590	21.200897	13.153368	16.993320	2.852052	4.860661	0.288543	0.278375	0.588562	0.186177	0.328017	0.151926	
276	4.345350	22.207261	13.624187	17.281832	2.952934	4.940690	0.293392	0.284590	0.602106	0.188324	0.332169	0.153856	
280	4.447817	23.046168	14.205540	18.126384	3.084555	5.178444	0.298064	0.288035	0.608341	0.179038	0.318553	0.155898	
284	4.654949	24.061608	14.704087	18.727899	3.206316	5.322716	0.302215	0.291803	0.614768	0.181651	0.341984	0.156860	
288	5.356966	25.305092	15.527049	20.928962	3.651200	6.156584	0.305849	0.296311	0.622272	0.183640	0.329395	0.162276	
292	5.010696	26.066463	15.960327	20.160312	3.470659	5.765254	0.310050	0.299751	0.637784	0.199411	0.353399	0.164612	
296	5.156579	27.035589	16.595516	21.203115	3.610937	6.042462	0.315126	0.304328	0.638785	0.189368	0.357344	0.164523	
300	5.407721	28.177851	17.140901	21.758806	3.739829	6.200247	0.319263	0.307950	0.650122	0.205152	0.362058	0.175889	
304	5.592953	29.181022	17.786032	23.204537	3.923302	6.615989	0.323724	0.313055	0.659802	0.194753	0.366969	0.169267	
308	5.816577	30.472113	18.432172	23.423960	4.042053	6.925832	0.330756	0.318491	0.667090	0.197315	0.349086	0.170606	
312	5.896518	31.537783	19.109119	24.526032	4.208438	6.994938	0.332519	0.322102	0.672174	0.199070	0.374989	0.172172	
316	6.139375	32.814982	19.691184	25.173594	4.351668	7.187663	0.335370	0.325032	0.681945	0.201596	0.358585	0.177938	
320	7.111522	34.265136	20.656320	26.353214	4.912140	8.524409	0.340160	0.326052	0.688317	0.205351	0.384868	0.177413	
324	6.579686	35.260490	21.070796	26.933755	4.689305	7.752754	0.344022	0.331979	0.699047	0.206086	0.366044	0.179441	
328	6.753685	36.399761	21.857884	28.220008	4.878673	8.060594	0.348624	0.334677	0.707161	0.209088	0.393675	0.181016	
